,Date,ctr,ctr_long,ctr_short
73,2021-02-11,-0.006346721257200001,0.005987017740200002,-0.0123337389974
74,2021-02-12,0.011560056412000006,-0.019759219762200003,0.03131927617420001
75,2021-02-15,0.0098930980432,0.026604550517999998,-0.016711452474800003
76,2021-02-16,-0.0049901085536,-0.0070022363961999975,0.0020121278426000005
77,2021-02-17,-0.009716379489000001,-0.005265153925800001,-0.004451225563200002
78,2021-02-18,-0.0012063766961999988,-0.028117819797999998,0.0269114431018
79,2021-02-19,0.005928901941799968,0.078025576321,-0.0720966743792
80,2021-02-22,0.0038431523168,-0.0033532081802,0.007196360496999998
81,2021-02-23,0.009302680287799982,-0.023109580737400003,0.03241226102519999
82,2021-02-24,-0.008387152381600005,0.08241948703919999,-0.09080663942079999
